Coefficient_name,Beta_values,Beta_values_ln,
Intercept,0.0011,-6.812445099,
PPG_FeeTypeApp Dev _ FF,14.8758,2.699735731,
PPG_FeeTypeApp Dev _ Other,1.0642,0.062223343,
PPG_FeeTypeApp Dev _ T&M,13.2303,2.582509654,
PPG_FeeTypeAzure Security _ FF,11.4276,2.436031482,
PPG_FeeTypeAzure Security _ Other,0.8371,-0.177811741,
PPG_FeeTypeAzure Security _ T&M,14.65,2.684440335,
PPG_FeeTypeBiz Apps _ FF,11.6064,2.45155667,
PPG_FeeTypeBiz Apps _ Other,1.271,0.239803992,
PPG_FeeTypeBiz Apps _ T&M,14.2848,2.659196035,
PPG_FeeTypeData & AI _ FF,10.8385,2.38310461,
PPG_FeeTypeData & AI _ Other,0.6918,-0.368458382,
PPG_FeeTypeData & AI _ T&M,12.7103,2.542412688,
PPG_FeeTypeInfra _ FF,13.7143,2.618439084,
PPG_FeeTypeInfra _ Other,0.9646,-0.036041771,
PPG_FeeTypeInfra _ T&M,12.9066,2.557738808,
PPG_FeeTypeMW _ FF,16.0639,2.776574518,
PPG_FeeTypeMW _ Other,1.0986,0.094036642,
PPG_FeeTypeMW _ T&M,14.1988,2.653157454,
PPG_FeeTypeMW Security _ FF,18.5425,2.920065395,
PPG_FeeTypeMW Security _ Other,1.3349,0.288856383,
PPG_FeeTypeMW Security _ T&M,15.1911,2.72070973,
Has SSSP1,0.9341,-0.06817178,int
SSSP Ownership1,0.8518,-0.160403521,int
Total Resources,0.8305,-0.18572735,float
Is Global1,1.5764,0.455143766,int
PreviousDAcountBucket0-5,1.1647,0.152463543,
PreviousDAcountBucket10-20,1.5025,0.407130387,
PreviousDAcountBucket20<,5.5504,1.713869997,
PreviousDAcountBucket5-10,1.4708,0.38580647,
CombinationIteration1,7.5761,2.024998555,
CombinationIteration2,19.5922,2.975131528,
CombinationIteration3<,35.3908,3.566451899,
incidentBucket0-50,0.8042,-0.217907285,
incidentBucket100-200,0.7248,-0.321859524,
incidentBucket200-400,0.8052,-0.216664585,
incidentBucket400<,0.685,-0.378336441,
incidentBucket50-100,0.8088,-0.212203611,
Avg_Resource_Experience_Bucket2to5,0.7741,-0.256054215,
Avg_Resource_Experience_Bucket5<,0.6603,-0.415061002,
GrowthLicensingSpendBucket0.25to0.75,0.9915,-0.008536331,
GrowthLicensingSpendBucket0.75to2,1.1379,0.129184458,
GrowthLicensingSpendBucket2<,1.0549,0.053445976,
AvgResourceWinRateBucket40%to60%,1.0159,0.015774919,
AvgResourceWinRateBucket60%to80%,1.0478,0.046692728,
AvgResourceWinRateBucket80%to100%,1.3762,0.319326078,
Digital Advisory Curr Flag1,0.85,-0.162518929,int
Commercial.Active.Oppty.Count_Bucketted >40,1.1457,0.136015804,
Commercial.Active.Oppty.Count_Bucketted(0-20],1.3853,0.325916723,
Commercial.Active.Oppty.Count_Bucketted(20-40],1.4531,0.373699205,
MonthsSlipped_Bucketted >18,0.0679,-2.689719244,
MonthsSlipped_Bucketted(0-6],0.8495,-0.163107338,
MonthsSlipped_Bucketted(12-18],0.171,-1.766091722,
