Opportunity ID,Opportunity Status,Area,Opportunity Size,SalesStage,Solution Area,Has Partner,Has SSSP,SSSP Ownership,Total Resources,Is Global,PreviousDAcountBucket,CombinationIteration,incidentBucket,Avg_Resource_Experience_Bucket,GrossNWSBucket,ContractDiscount%_binned,ECIF%_binned,approvedHoursBucket,GrowthLicensingSpendBucket,AvgResourceWinRateBucket,Digital Advisory Curr Flag,Fee Type,Avg PL Experience Bucket_binned,PPG,Commercial_Active_Oppty_Count_Bucketted,MonthsSlipped_Bucketted,Owner_Win_Rate_Bucketted,Tpid_Win_Rate_Bucketted,Is Tpid Active Support Contract,PrimarySponsorBDM,ExternalStallingFlag,ClosePlanExists,Domain PreSales Indicator,Risk_Fee,POC,StandardOfferingType,Accountplankey,MACC_binned,Cloud_SE,StalledDaysBinned,Cloud_Partner,Cloud_Discount,Cloud_Partner_Size,AvgCSATScore_Binned,Consulting_Action,SA_Size,DBScore_Binned,PPG_FeeType
7-3222VDUPXX,Open,Western Europe,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3222ZJD6LX,Open,Japan,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-32237ZIIRH,Open,Western Europe,>1M       ,20.0,Business Applications,1,0,1,2.0,0,0,1,0-50,<=2,0-2M,0-10%,0,0-20,0.25to0.75,0%to40%,0,T&M,<2,Biz Apps, =0, =0,20-40,20-40,1,1,1,No,Has Domain Presales,1_Mixed,0,Full SO,1,2M+,No,0,Cloud_1,Cloud_0-10%,Cloud_1_>1M       ,0,0,Business Applications_>1M,0,Biz Apps _ T&M
7-3223LBAQEC,Open,Western Europe,>1M       ,40.0,Applications & Infrastructure,1,0,0,0.0,0,0,0,0-50,<=2,0-2M,0%,0,0,<0.25,0%to40%,0,Other,0,App Dev, =0, =0,20-40,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_>1M       ,0,1,Applications & Infrastructure_>1M,2-4,App Dev _ Other
7-3223OMQRVM,Open,UK,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3223PGKPXJ,Open,Western Europe,>1M       ,40.0,Data & AI,1,0,0,0.0,0,0,0,50-100,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,Data & AI, =0, =0, 0-20,20-40,0,1,1,No,Without Domain Presales,Other,0,Unknown,2,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_>1M       ,0,0,Data & AI_>1M,0,Data & AI _ Other
7-3223QY52UA,Open,UK,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-32243XU43M,Open,Western Europe,50k-100k  ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_50k-100k  ,0,0,AA,0,AA
7-3224AHRHDQ,Open,Central and Eastern Europe,>1M       ,40.0,Applications & Infrastructure,1,0,0,3.0,0,0,1,0-50,<=2,0-2M,0-10%,0,60-80,<0.25,0%to40%,0,T&M,<2,App Dev,(0-20], =0, 0-20,20-40,1,1,1,No,Has Domain Presales,3_Mixed,0,Custom,2,0,No,0,Cloud_1,Cloud_0-10%,Cloud_1_>1M       ,0,1,Applications & Infrastructure_>1M,0,App Dev _ T&M
7-3224B4X2UF,Open,United States,50k-100k  ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_50k-100k  ,0,0,AA,0,AA
