Sub_Region,Red_Projects_SubRegion
Argentina,0
Australia,3.047091413
Austria,0
Belgium,3.896103896
Brazil,0
Canada,2.389078498
Caribbean Region LATAM,0
CEE MC,2.325581395
Central Region LATAM,0
Chile,2.857142857
China,0.91503268
Colombia,9.090909091
Denmark,0
Finland,0
France,1.222493888
Germany,1.565762004
Greece,1.724137931
Hong Kong,1.242236025
Hungary,7.142857143
India,2.884615385
Indonesia,7.692307692
Ireland,3.448275862
Israel,2.283105023
Italy,2.830188679
Japan,0.458715596
Korea,0
Malaysia,3.846153846
MEA MCC,0
Mexico,3.875968992
Middle East Cluster,2.53164557
Netherlands,2.127659574
New Zealand,1.25
Norway,3.278688525
Philippines,0
Poland,6.666666667
Portugal,0
Romania,0
Russia,14.28571429
Saudi Arabia,0
SEA New Markets,0
Singapore,1.694915254
Slovakia and Czechia,3.305785124
South Africa,5.882352941
South Region LATAM,7.142857143
Spain,1.293103448
Sweden,1.369863014
Switzerland,0
Taiwan,0
Thailand,6.25
Turkey,1.515151515
UK,5.095541401
United Arab Emirates,4.545454545
US-Enterprise Group,5.48977395
Vietnam,25
