feature_column,range,average,median,max_of_average_and_median,max,min,feature,Actionable_Flag,Feature_Star
contribution_3.74887799763131,3.748877998,2.274428583,2.674418168,2.674418168,3.748877998,0,CombinationIteration,Non-Actionable,5
contribution_5.46958261028258,5.46958261,2.216509561,1.888553396,2.216509561,5.46958261,0,Tpid.Win.Rate_Bucketted,Non-Actionable,5
contribution_3.63662058606352,3.636620586,1.912227895,2.899361173,2.899361173,3.241353303,-0.395267283,PPG_FeeType,Actionable,5
contribution_4.72160653749451,4.721606537,1.637311227,1.087753545,1.637311227,4.721606537,0,Owner.Win.Rate_Bucketted,Non-Actionable,5
contribution_3.204415780526,3.204415781,1.60220789,1.60220789,1.60220789,3.204415781,0,Amendment_Opportunity_Flag,Non-Actionable,5
contribution_4.75978983898589,4.759789839,0.815368783,1.0780864,1.0780864,2.798664524,-1.961125315,binned_riskreserve_RiskRating_levels_FeeType1,Actionable,5
contribution_1.57641872997687,1.57641873,0.489490825,0.363531385,0.489490825,1.57641873,0,PreviousDAcountBucket,Non-Actionable,5
contribution_0.739076112448345,0.739076112,0.429336465,0.496974365,0.496974365,0.739076112,0,StandardOfferingType,Actionable,5
contribution_5.17926108767641,5.179261088,0.409998982,0.183737221,0.409998982,3.665587797,-1.51367329,binned_disc.is.S500.Flag.ACRPotentialRevenue,Actionable,5
contribution_4.76695136660717,4.766951367,0.387381717,0.383965914,0.387381717,1.846326566,-2.920624801,binned_ecif.is.S500.Flag.ACRPotentialRevenue,Actionable,4
contribution_0.398776119957368,0.39877612,0.237778146,0.252547002,0.252547002,0.39877612,0,binned_Tier.3..Sr.PjM.Cons.ADE,Actionable,4
contribution_0.550257853009705,0.550257853,0.225665152,0.176201378,0.225665152,0.550257853,0,AvgResourceWinRateBucket,Non-Actionable,4
contribution_0.419368013277156,0.419368013,0.209684007,0.209684007,0.209684007,0.419368013,0,Is Global,Non-Actionable,4
contribution_0.696292229704018,0.69629223,0.199556786,0.050967457,0.199556786,0.69629223,0,AvgCSATScore.Binned,Actionable,4
contribution_0.330813398412384,0.330813398,0.198298292,0.235467301,0.235467301,0.330813398,0,binned_Tier.5..GD.Subcon,Actionable,4
contribution_0.344936315033342,0.344936315,0.167512759,0.16255736,0.167512759,0.344936315,0,Commercial.Active.Oppty.Count_Bucketted,Non-Actionable,4
contribution_0.248499358576518,0.248499359,0.124249679,0.124249679,0.124249679,0.248499359,0,ClosePlanExists,Actionable,4
contribution_0.217447358769329,0.217447359,0.108723679,0.108723679,0.108723679,0.217447359,0,PrimarySponsorBDM,Actionable,4
contribution_0.406581179652585,0.40658118,0.106479211,0.088171787,0.106479211,0.360746643,-0.045834536,binned_Tier.4..PjM.Cons.ADE,Actionable,3
contribution_0.275906562497786,0.275906562,0.09686615,0.071400399,0.09686615,0.260285182,-0.015621381,DBScore_Binned,Non-Actionable,3
contribution_0.185566286958844,0.185566287,0.092783143,0.092783143,0.092783143,0.185566287,0,Domain PreSales Indicator,Actionable,3
contribution_0.161268147596122,0.161268148,0.080634074,0.080634074,0.080634074,0.161268148,0,Has SSSP,Non-Actionable,3
contribution_0.1558064511382,0.155806451,0.077903226,0.077903226,0.077903226,0.155806451,0,Consulting.Action,Actionable,3
contribution_0.14894126771258,0.148941268,0.041865663,0.0307,0.041865663,0.12751332,-0.021427947,GrowthLicensingSpendBucket,Non-Actionable,3
contribution_0.0489806222216219,0.048980622,0.024490311,0.024490311,0.024490311,0.048980622,0,Accountplankey,Actionable,3
contribution_0,0,0.02391182,0.02391182,0.02391182,0.02391182,0.02391182,Total Resources,Actionable,3
contribution_0.129724405942958,0.129724406,0.02036897,0.019514193,0.02036897,0.086085949,-0.043638457,MACC_binned,Non-Actionable,3
contribution_0.0360425913469293,0.036042591,0.018021296,0.018021296,0.018021296,0.036042591,0,Cloud_Partner,Actionable,2
contribution_0.0302381830606099,0.030238183,0.015119092,0.015119092,0.015119092,0.030238183,0,POC,Actionable,2
contribution_0.102138037,0.102138037,0.0119,0.007480569,0.0119,0.019025264,-0.020500627,Risk_Fee,Actionable,2
contribution_0.041711253,0.041711253,0.001755129,0.00000736,0.001755129,0.005329718,-0.005537721,StalledDays.Binned,Actionable,2
contribution_0.041540325,0.041540325,-0.002047759,-0.002263626,-0.002047759,0.036933769,-0.0082,Has Partner,Actionable,2
contribution_0.028399474521698,0.028399475,-0.014199737,-0.014199737,-0.014199737,0,-0.0284,Cloud_SE,Actionable,2
contribution_0.305394577882975,0.305394578,-0.045808278,-0.038764601,-0.038764601,0.099845335,-0.206,binned_TandM,Actionable,2
contribution_0.348162935117509,0.348162935,-0.074983725,-0.062783199,-0.062783199,0.0965,-0.251671635,binned_Tier.2..Architect,Actionable,2
contribution_0.163578313976819,0.163578314,-0.081789157,-0.0818,-0.081789157,0,-0.163578314,Is Tpid Active Support Contract,Non-Actionable,2
contribution_0.167117723051682,0.167117723,-0.0836,-0.0836,-0.0836,0,-0.167117723,SSSP Ownership,Actionable,1
contribution_0.195771604518359,0.196,-0.0896,-0.073000893,-0.073000893,0,-0.195771605,Avg_Resource_Experience_Bucket,Non-Actionable,1
contribution_0.306117634607466,0.306117635,-0.153058817,-0.153058817,-0.153058817,0,-0.306117635,Digital Advisory Curr Flag,Actionable,1
contribution_0.502196297067936,0.502196297,-0.169275309,-0.120925468,-0.120925468,0,-0.502196297,binned_Tier.1..Sr.Architect,Actionable,1
contribution_0.380236054062389,0.380236054,-0.2452601,-0.256793567,-0.2452601,0,-0.380236054,incidentBucket,Non-Actionable,1
contribution_0.836786630761556,0.836786631,-0.418393315,-0.418393315,-0.418393315,0,-0.836786631,ExternalStallingFlag,Actionable,1
contribution_2.85423271128029,2.854232711,-1.157263037,-1.056990614,-1.056990614,0,-2.854232711,MonthsSlipped_Bucketted,Actionable,1
contribution_1.57939379108572,1.579393791,-1.294455929,-1.519597208,-1.294455929,0,-1.579393791,approvedHoursBucket,Non-Actionable,1
