Feature_Name,Coefficient_name,Level_Value,Beta_values,P_Value,Actionable_Flag,Odds_Ratio,Seller_Narratives,MaxOdds_Ratio,Feature_Direction,Seller_Narratives_Other,Feature_Count,Average,Rank_Feature,Earliest_Sales_Stage,Latest_Sales_Stage,Level_Name,Feature_Show_Hide,Business_Feature_Name,Action
Accountplankey,Accountplankey1,1,1,0,Actionable,0,Deals with Account Plan linked to the Opportunity have higher propensity to win,0.048980622,Neutral,Deals with Account Plan linked to the Opportunity have higher propensity to win,2,0.048980622,2,20,60,No,Show,Account Plan Linked,Create an account plan and link the priority to the opportunity
Accountplankey,Accountplankey2,2,1.0502,0.4487,Actionable,0.048980622,Deals with Account Plan linked to the Opportunity have higher propensity to win,0.048980622,Positive,Deals with Account Plan linked to the Opportunity have higher propensity to win,2,0.048980622,1,20,60,Yes,Hide,Account Plan Linked,Create an account plan and link the priority to the opportunity
Amendment_Opportunity_Flag,Amendment_Opportunity_Flag0,0,1,0,Non-Actionable,0,Amendments to a Won Deal have higher propensity to win,3.204415781,Neutral,Amendments to a Won Deal have higher propensity to win,2,3.204415781,2,0,100,No,Show,Amendment Deal,No Action
Amendment_Opportunity_Flag,Amendment_Opportunity_Flag1,1,24.6411,0,Non-Actionable,3.204415781,Amendments to a Won Deal have higher propensity to win,3.204415781,Positive,Amendments to a Won Deal have higher propensity to win,2,3.204415781,1,0,100,Yes,Hide,Amendment Deal,No Action
approvedHoursBucket,approvedHoursBucket0,0,1,0,Non-Actionable,0,Higher the Presales NBUE hours higher the propensity to win,0,Positive,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,1,0,100,High,Hide,Presales Hours,No Action
approvedHoursBucket,approvedHoursBucket0-20,0-20,0.2224,0,Non-Actionable,-1.503277717,Higher the Presales NBUE hours higher the propensity to win,0,Negative,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,3,0,100,Medium-Low,Show,Presales Hours,No Action
approvedHoursBucket,approvedHoursBucket100<,100<,0.2121,0,Non-Actionable,-1.550697417,Higher the Presales NBUE hours higher the propensity to win,0,Negative,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,6,0,100,Medium-Low,Show,Presales Hours,No Action
approvedHoursBucket,approvedHoursBucket20-40,20-40,0.2061,0,Non-Actionable,-1.579393791,Higher the Presales NBUE hours higher the propensity to win,0,Negative,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,7,0,100,Low,Show,Presales Hours,No Action
approvedHoursBucket,approvedHoursBucket40-60,40-60,0.2188,0,Non-Actionable,-1.519597208,Higher the Presales NBUE hours higher the propensity to win,0,Negative,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,4,0,100,Low,Show,Presales Hours,No Action
approvedHoursBucket,approvedHoursBucket60-80,60-80,0.2163,0,Non-Actionable,-1.531088946,Higher the Presales NBUE hours higher the propensity to win,0,Negative,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,5,0,100,Low,Show,Presales Hours,No Action
approvedHoursBucket,approvedHoursBucket80-100,80-100,0.2523,0,Non-Actionable,-1.377136423,Higher the Presales NBUE hours higher the propensity to win,0,Negative,Higher the Presales NBUE hours higher the propensity to win,7,-1.510198584,2,0,100,Medium-High,Show,Presales Hours,No Action
Avg_Resource_Experience_Bucket,Avg_Resource_Experience_Bucket2to5,2to5,0.9296,0.2089,Non-Actionable,-0.073000893,Average Resource Experience staffed on the opportunity influences the propensity to win the opportunity,-0.073000893,Negative,Average Resource Experience staffed on the opportunity influences the propensity to win the opportunity,2,-0.134386249,2,0,100,Medium-Low,Hide,Average Past Experience of Resources,No Action
Avg_Resource_Experience_Bucket,Avg_Resource_Experience_Bucket5<,5<,0.8222,0.0314,Non-Actionable,-0.195771605,Average Resource Experience staffed on the opportunity influences the propensity to win the opportunity,-0.073000893,Negative,Average Resource Experience staffed on the opportunity influences the propensity to win the opportunity,2,-0.134386249,3,0,100,Low,Hide,Average Past Experience of Resources,No Action
Avg_Resource_Experience_Bucket,Avg_Resource_Experience_Bucket<=2,<=2,1,0.0234,Non-Actionable,0,Average Resource Experience staffed on the opportunity influences the propensity to win the opportunity,0.256346192,Positive,Average Resource Experience staffed on the opportunity influences the propensity to win the opportunity,1,-0.134386249,1,0,100,High,Hide,Average Past Experience of Resources,No Action
AvgCSATScore.Binned,AvgCSATScore.Binned1,1,1.027,0.9213,Non-Actionable,0.026641931,Customer satisfaction score is hurting this opportunity,0.69629223,Positive,Customer satisfaction score is hurting this opportunity,3,0.266075715,3,20,60,Medium-Low,Show,Customer CSAT,No Action
AvgCSATScore.Binned,AvgCSATScore.Binned2,2,1.0782,0.7928,Non-Actionable,0.075292984,Customer satisfaction score is hurting this opportunity,0.69629223,Positive,Customer satisfaction score is hurting this opportunity,3,0.266075715,2,20,60,Medium-High,Show,Customer CSAT,No Action
AvgCSATScore.Binned,AvgCSATScore.Binned3,3,2.0063,0.0188,Non-Actionable,0.69629223,Customer satisfaction score is hurting this opportunity,0.69629223,Positive,Customer satisfaction score is hurting this opportunity,3,0.266075715,1,20,60,High,Show,Customer CSAT,No Action
AvgCSATScore.Binned,AvgCSATScore.Binned0,0,1,0,Non-Actionable,0,Customer satisfaction score is hurting this opportunity,0.69629223,Positive,Customer satisfaction score is hurting this opportunity,1,0.266075715,4,20,60,Low,Show,Customer CSAT,No Action
AvgResourceWinRateBucket,AvgResourceWinRateBucket40%to60%,40%to60%,1.1596,0.0274,Non-Actionable,0.148075118,Higher Average Resource Win Rate improves the propensity to win  the opportunity,0.550257853,Positive,Higher Average Resource Win Rate improves the propensity to win  the opportunity,3,0.300886869,3,0,100,Medium-Low,Show,Deal Team Win Rate,No Action
AvgResourceWinRateBucket,AvgResourceWinRateBucket60%to80%,60%to80%,1.2267,0.178,Non-Actionable,0.204327637,Higher Average Resource Win Rate improves the propensity to win  the opportunity,0.550257853,Positive,Higher Average Resource Win Rate improves the propensity to win  the opportunity,3,0.300886869,2,0,100,Medium-High,Show,Deal Team Win Rate,No Action
AvgResourceWinRateBucket,AvgResourceWinRateBucket80%to100%,80%to100%,1.7337,0.1086,Non-Actionable,0.550257853,Higher Average Resource Win Rate improves the propensity to win  the opportunity,0.550257853,Positive,Higher Average Resource Win Rate improves the propensity to win  the opportunity,3,0.300886869,1,0,100,High,Show,Deal Team Win Rate,No Action
AvgResourceWinRateBucket,AvgResourceWinRateBucket0%to40%,0%to40%,1,0,Non-Actionable,0,Higher Average Resource Win Rate improves the propensity to win  the opportunity,0.571995979,Positive,Higher Average Resource Win Rate improves the propensity to win  the opportunity,1,0.300886869,4,0,100,Low,Show,Deal Team Win Rate,No Action
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&No&0,[3%-10%] Discount&No&0,1,0,Actionable,0,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.039124555,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,-0.13,2,40,40,Medium-Low,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&No&1000000,[3%-10%] Discount&No&1000000,3.5516,0.2395,Actionable,1.267398206,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.267398206,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.809,1,40,40,Medium-Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
